Make,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,City MPG (FT1),Highway MPG (FT1), MPG,Annual Fuel Cost ,Tailpipe CO2 in Grams/Mile 
Alfa Romeo,Minicompact Cars,,Manual,6,2.5,17,24,20,1750,444.35
Alfa Romeo,Minicompact Cars,,Manual,6,2.5,17,24,20,1750,444.35
Alfa Romeo,Two Seaters,,Manual,4,2,18,25,21,1650,423.1904762
Alfa Romeo,Two Seaters,,Manual,4,2,18,25,21,1650,423.1904762
AM General,Special Purpose Vehicle 2WD,2-Wheel Drive,Automatic,4,2.5,18,17,17,2050,522.7647059
AM General,Special Purpose Vehicle 2WD,2-Wheel Drive,Automatic,4,2.5,18,17,17,2050,522.7647059
AM General,Special Purpose Vehicle 2WD,2-Wheel Drive,Automatic,6,4.2,13,13,13,2700,683.6153846
AM General,Special Purpose Vehicle 2WD,2-Wheel Drive,Automatic,6,4.2,13,13,13,2700,683.6153846
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,6,4.2,15,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,6,4.2,15,19,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,22,20,1750,444.35
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,22,20,1750,444.35
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,15,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,23,21,1650,423.1904762
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,22,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,22,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,4,2.5,17,21,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,6,4.2,16,20,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,4,2.5,17,21,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Automatic,6,4.2,15,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,22,20,1750,444.35
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,22,20,1750,444.35
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,15,20,17,2050,522.7647059
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,4,2.5,19,23,21,1650,423.1904762
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,22,18,1950,493.7222222
American Motors Corporation,Special Purpose Vehicle 4WD,4-Wheel or All-Wheel Drive,Manual,6,4.2,16,22,18,1950,493.7222222
Aston Martin,Subcompact Cars,,Automatic,8,5.3,8,10,9,3900,987.4444444
Aston Martin,Subcompact Cars,,Automatic,8,5.3,8,10,9,3900,987.4444444
Aston Martin,Subcompact Cars,,Automatic,8,5.3,8,11,9,3900,987.4444444
Aston Martin,Subcompact Cars,,Automatic,8,5.3,8,11,9,3900,987.4444444
Aston Martin,Subcompact Cars,,Manual,8,5.3,7,10,8,4350,1110.875
Aston Martin,Subcompact Cars,,Manual,8,5.3,7,10,8,4350,1110.875
Audi,Subcompact Cars,,Automatic,4,1.8,19,24,21,1650,423.1904762
